DateTime,Players
10/11/2012,22880
11/11/2012,22968
12/11/2012,21888
13/11/2012,19577
14/11/2012,18505
15/11/2012,18543
16/11/2012,18418
17/11/2012,20597
18/11/2012,20396
19/11/2012,20234
20/11/2012,18273
21/11/2012,18847
22/11/2012,18933
23/11/2012,18997
24/11/2012,21512
25/11/2012,21431
26/11/2012,23465
27/11/2012,23465
28/11/2012,23597
29/11/2012,22501
30/11/2012,20615
01/12/2012,27553
02/12/2012,23130
03/12/2012,22426
04/12/2012,21727
05/12/2012,22137
06/12/2012,22319
07/12/2012,22826
08/12/2012,25803
09/12/2012,25358
10/12/2012,25377
11/12/2012,23761
12/12/2012,22429
13/12/2012,22092
14/12/2012,20909
15/12/2012,23713
16/12/2012,23469
17/12/2012,23170
18/12/2012,22656
19/12/2012,21486
20/12/2012,21147
21/12/2012,20912
22/12/2012,22622
23/12/2012,22859
24/12/2012,18249
25/12/2012,20428
26/12/2012,23400
27/12/2012,24745
28/12/2012,26396
29/12/2012,27994
30/12/2012,28208
31/12/2012,25071
01/01/2013,31359
02/01/2013,27365
03/01/2013,27971
04/01/2013,27057
05/01/2013,31275
06/01/2013,31343
07/01/2013,30480
08/01/2013,28874
09/01/2013,27372
10/01/2013,27760
11/01/2013,26010
12/01/2013,29060
13/01/2013,28927
14/01/2013,27930
15/01/2013,27010
16/01/2013,26002
17/01/2013,25946
18/01/2013,24670
19/01/2013,28609
20/01/2013,29421
21/01/2013,29341
22/01/2013,27271
23/01/2013,27272
24/01/2013,27283
25/01/2013,25976
26/01/2013,29566
27/01/2013,29562
28/01/2013,27828
29/01/2013,26654
30/01/2013,26292
31/01/2013,26210
01/02/2013,35238
02/02/2013,29588
03/02/2013,29340
04/02/2013,27967
05/02/2013,27481
06/02/2013,25874
07/02/2013,28358
08/02/2013,30390
09/02/2013,35597
10/02/2013,35045
11/02/2013,34252
12/02/2013,31613
13/02/2013,27439
14/02/2013,27935
15/02/2013,28986
16/02/2013,33189
17/02/2013,33110
18/02/2013,32053
19/02/2013,28067
20/02/2013,27828
21/02/2013,27767
22/02/2013,27851
23/02/2013,31712
24/02/2013,31543
25/02/2013,30443
26/02/2013,27140
27/02/2013,28512
28/02/2013,28767
01/03/2013,32166
02/03/2013,30889
03/03/2013,30876
04/03/2013,28744
05/03/2013,25903
06/03/2013,25812
07/03/2013,25131
08/03/2013,25565
09/03/2013,30029
10/03/2013,29917
11/03/2013,27834
12/03/2013,24446
13/03/2013,26247
14/03/2013,26156
15/03/2013,25555
16/03/2013,29444
17/03/2013,29023
18/03/2013,28466
19/03/2013,27964
20/03/2013,27635
21/03/2013,27453
22/03/2013,27805
23/03/2013,32372
24/03/2013,32414
25/03/2013,30489
26/03/2013,28046
27/03/2013,28144
28/03/2013,28468
29/03/2013,27440
30/03/2013,28343
31/03/2013,29407
01/04/2013,31966
02/04/2013,26055
03/04/2013,27938
04/04/2013,28890
05/04/2013,28687
06/04/2013,32163
07/04/2013,29464
08/04/2013,27843
09/04/2013,26959
10/04/2013,29239
11/04/2013,27137
12/04/2013,28237
13/04/2013,31604
14/04/2013,29982
15/04/2013,28795
16/04/2013,27768
17/04/2013,28493
18/04/2013,27078
19/04/2013,26886
20/04/2013,30920
21/04/2013,29952
22/04/2013,28106
23/04/2013,24738
24/04/2013,27216
25/04/2013,26661
26/04/2013,27160
27/04/2013,31433
28/04/2013,30521
29/04/2013,27756
30/04/2013,25652
01/05/2013,53379
02/05/2013,26397
03/05/2013,26495
04/05/2013,29255
05/05/2013,27964
06/05/2013,28146
07/05/2013,27001
08/05/2013,26336
09/05/2013,25718
10/05/2013,26579
11/05/2013,29611
12/05/2013,29199
13/05/2013,26626
14/05/2013,25655
15/05/2013,30732
16/05/2013,44688
17/05/2013,51786
18/05/2013,53381
19/05/2013,42315
20/05/2013,36850
21/05/2013,35039
22/05/2013,34418
23/05/2013,32069
24/05/2013,31723
25/05/2013,34871
26/05/2013,35724
27/05/2013,33689
28/05/2013,31426
29/05/2013,33106
30/05/2013,31084
31/05/2013,29297
01/06/2013,33700
02/06/2013,33448
03/06/2013,31806
04/06/2013,30594
05/06/2013,30352
06/06/2013,29284
07/06/2013,27103
08/06/2013,31842
09/06/2013,32327
10/06/2013,31795
11/06/2013,30957
12/06/2013,32008
13/06/2013,31419
14/06/2013,28737
15/06/2013,33321
16/06/2013,33951
17/06/2013,32652
18/06/2013,32167
19/06/2013,31193
20/06/2013,30594
21/06/2013,27317
22/06/2013,32706
23/06/2013,33993
24/06/2013,33041
25/06/2013,31838
26/06/2013,30794
27/06/2013,29569
28/06/2013,28882
29/06/2013,32710
30/06/2013,34595
01/07/2013,42149
02/07/2013,32455
03/07/2013,31636
04/07/2013,30239
05/07/2013,27674
06/07/2013,31678
07/07/2013,32206
08/07/2013,31697
09/07/2013,30258
10/07/2013,32813
11/07/2013,33125
12/07/2013,32587
13/07/2013,34917
14/07/2013,34838
15/07/2013,34126
16/07/2013,33547
17/07/2013,32170
18/07/2013,32223
19/07/2013,32595
20/07/2013,40569
21/07/2013,42411
22/07/2013,41475
23/07/2013,39024
24/07/2013,36747
25/07/2013,36289
26/07/2013,32931
27/07/2013,37093
28/07/2013,36972
29/07/2013,36514
30/07/2013,36026
31/07/2013,34224
01/08/2013,50511
02/08/2013,29267
03/08/2013,34251
04/08/2013,33586
05/08/2013,33848
06/08/2013,33104
07/08/2013,31589
08/08/2013,31024
09/08/2013,30076
10/08/2013,34349
11/08/2013,34091
12/08/2013,33995
13/08/2013,40211
14/08/2013,45862
15/08/2013,45696
16/08/2013,44982
17/08/2013,51627
18/08/2013,49450
19/08/2013,48268
20/08/2013,46910
21/08/2013,48341
22/08/2013,45988
23/08/2013,44294
24/08/2013,48892
25/08/2013,47363
26/08/2013,45160
27/08/2013,45129
28/08/2013,45692
29/08/2013,43360
30/08/2013,43062
31/08/2013,42838
01/09/2013,52052
02/09/2013,44064
03/09/2013,41754
04/09/2013,43413
05/09/2013,41612
06/09/2013,44671
07/09/2013,50837
08/09/2013,46553
09/09/2013,42807
10/09/2013,40965
11/09/2013,44712
12/09/2013,44173
13/09/2013,47175
14/09/2013,51134
15/09/2013,46788
16/09/2013,42682
17/09/2013,38693
18/09/2013,42817
19/09/2013,44988
20/09/2013,47978
21/09/2013,51215
22/09/2013,45591
23/09/2013,44195
24/09/2013,43113
25/09/2013,44295
26/09/2013,44191
27/09/2013,45445
28/09/2013,52004
29/09/2013,46878
30/09/2013,42579
01/10/2013,53263
02/10/2013,44219
03/10/2013,42554
04/10/2013,43194
05/10/2013,48221
06/10/2013,46625
07/10/2013,45631
08/10/2013,44330
09/10/2013,44567
10/10/2013,41443
11/10/2013,46872
12/10/2013,52505
13/10/2013,52332
14/10/2013,47132
15/10/2013,47603
16/10/2013,44705
17/10/2013,49287
18/10/2013,48652
19/10/2013,53263
20/10/2013,49372
21/10/2013,46715
22/10/2013,45345
23/10/2013,47537
24/10/2013,47509
25/10/2013,49242
26/10/2013,52908
27/10/2013,52609
28/10/2013,53061
29/10/2013,49050
30/10/2013,47127
31/10/2013,43335
01/11/2013,92279
02/11/2013,52225
03/11/2013,51945
04/11/2013,46217
05/11/2013,43695
06/11/2013,45985
07/11/2013,46292
08/11/2013,47880
09/11/2013,50516
10/11/2013,51656
11/11/2013,51656
12/11/2013,48262
13/11/2013,47358
14/11/2013,46445
15/11/2013,47610
16/11/2013,54097
17/11/2013,52557
18/11/2013,48956
19/11/2013,47722
20/11/2013,49817
21/11/2013,50327
22/11/2013,51302
23/11/2013,52710
24/11/2013,51237
25/11/2013,49528
26/11/2013,48311
27/11/2013,67049
28/11/2013,73677
29/11/2013,93905
30/11/2013,93640
01/12/2013,96298
02/12/2013,81641
03/12/2013,78667
04/12/2013,75789
05/12/2013,75235
06/12/2013,75289
07/12/2013,80321
08/12/2013,77890
09/12/2013,74958
10/12/2013,69524
11/12/2013,67997
12/12/2013,67674
13/12/2013,65867
14/12/2013,72724
15/12/2013,71647
16/12/2013,69087
17/12/2013,66543
18/12/2013,72892
19/12/2013,74706
20/12/2013,75142
21/12/2013,76822
22/12/2013,89016
23/12/2013,87510
24/12/2013,72726
25/12/2013,79037
26/12/2013,82807
27/12/2013,83986
